"Path","Hash"
"D:\mipartedelpiaconpowershell\samples\doc.doc","FE4B72D260AD26F513BB9B4D4621EB3C90AAA544784BCC8348F48A244D926EDA"
"D:\mipartedelpiaconpowershell\samples\docx.docx","FE4B72D260AD26F513BB9B4D4621EB3C90AAA544784BCC8348F48A244D926EDA"
"D:\mipartedelpiaconpowershell\samples\pdf.pdf","82FE545E07BA5925B686521A2BDDB9994926145049B5BF93C9BEE43605048BEB"
"D:\mipartedelpiaconpowershell\samples\png.jpg","C04CEE563C88DDA71470A041F940EAEA153AA8E354FD6BB7D9D756427A770248"
"D:\mipartedelpiaconpowershell\samples\png.png","403A0A016BE4544ACDD39753510B49DCD3B988077D33FA30F0995B0BE2771AF3"
"D:\mipartedelpiaconpowershell\samples\txt.txt","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
