"Path","Hash","TipoCambio"
"D:\mipartedelpiaconpowershell\samples\txt.txt","2C3334C989B18600D52D1C81127589000A2627359EE54DC19728B5255B5C6F20","ELIMINADO"
"D:\mipartedelpiaconpowershell\samples\txt.txt","C7647006FA89EBE136B7B96BD4D4EE2E37E58D267FC615F0D3309C63A5559039","MODIFICADO"
